unique_id,category,item,quantity
PML-3EA86CC6B1B1,Terminal,RED | CTS 16U RED | 16.0A | DP Rs.29.40,1
PML-3EA86CC6B1B1,MCB,1P | MCB 1P 1A | 1.0A | DP Rs.270.60,1
PML-3EA86CC6B1B1,Metal Box,"1.0 | Metal Box 450*350*210 DLC UPTO 2 PUMP | 1.0A | DP Rs.2,500.00",1
PML-3EA86CC6B1B1,Cable Tray,25X60 | CABLE TREY 25X60 BTYPE | 1.0A | DP Rs.111.00,1
PML-3EA86CC6B1B1,CT COIL,30-02 HOLE | 30amp CT With Wire (2 HOLE) | 30.0A | DP Rs.125.00,1
PML-3EA86CC6B1B1,Controller,"1.0 | AI-PCU02 WITH HMI DISPLAY | 1.0A | DP Rs.25,000.00",1
