unique_id,category,item,quantity
AD | PT1 | PC10A | NOP1 | NOVFD1 | VFM3 | MIR1 | 3PDMS1 | PS1 | BY1 | PNLT1 | PCL1 | OLR1 | ILR1 | SGM1,MCB,1P | MCB 1P 1A | 1.0A | DP Rs.304.20,1
AD | PT1 | PC10A | NOP1 | NOVFD1 | VFM3 | MIR1 | 3PDMS1 | PS1 | BY1 | PNLT1 | PCL1 | OLR1 | ILR1 | SGM1,VFD,"2.5A | CG-0.75KW-HD,1HP,380-480V (200X80X150) | N/AA | DP Rs.10,664.00",1
AD | PT1 | PC10A | NOP1 | NOVFD1 | VFM3 | MIR1 | 3PDMS1 | PS1 | BY1 | PNLT1 | PCL1 | OLR1 | ILR1 | SGM1,Fan,"4.0 | Exaust Fan 4"" 230VAC | 4.0A | DP Rs.370.00",1
AD | PT1 | PC10A | NOP1 | NOVFD1 | VFM3 | MIR1 | 3PDMS1 | PS1 | BY1 | PNLT1 | PCL1 | OLR1 | ILR1 | SGM1,MCB,1P | MCB 1P 1A | 1.0A | DP Rs.304.20,1
