unique_id,category,item,quantity
AD | PT1 | PC15A | NOP3 | NOVFD1 | VFM1 | MIR1 | 3PDMS1 | PS4 | BY1 | PNLT1 | PCL1 | OLR0 | ILR0 | SGM1,Controller,"1.0 | AI-PCU02 WITH HMI DISPLAY | 1.0A | DP Rs.25,000.00",1
AD | PT1 | PC15A | NOP3 | NOVFD1 | VFM1 | MIR1 | 3PDMS1 | PS4 | BY1 | PNLT1 | PCL1 | OLR0 | ILR0 | SGM1,RELAY,1.0 | RELAY TARA | N/AA | DP Rs.357.50,1
AD | PT1 | PC15A | NOP3 | NOVFD1 | VFM1 | MIR1 | 3PDMS1 | PS4 | BY1 | PNLT1 | PCL1 | OLR0 | ILR0 | SGM1,Lugs,single | Lugs End Sleeve 0.5 Sqmm | 0.5A | DP Rs.0.50,1
AD | PT1 | PC15A | NOP3 | NOVFD1 | VFM1 | MIR1 | 3PDMS1 | PS4 | BY1 | PNLT1 | PCL1 | OLR0 | ILR0 | SGM1,Controller,"1.0 | AI-PCU02 WITH HMI DISPLAY | 1.0A | DP Rs.25,000.00",1
