unique_id,category,item,quantity
AD | PT1 | PC15A | NOP1 | NOVFD1 | VFM1 | MIR1 | 3PDMS1 | PS4 | BY1 | PNLT1 | PCL1 | OLR0 | ILR0 | SGM1,Controller,"1.0 | AI-PCU02 WITH HMI DISPLAY | 1.0A | DP Rs.25,000.00",1
AD | PT1 | PC15A | NOP1 | NOVFD1 | VFM1 | MIR1 | 3PDMS1 | PS4 | BY1 | PNLT1 | PCL1 | OLR0 | ILR0 | SGM1,RELAY,1.0 | RELAY TARA | N/AA | DP Rs.357.50,1
AD | PT1 | PC15A | NOP1 | NOVFD1 | VFM1 | MIR1 | 3PDMS1 | PS4 | BY1 | PNLT1 | PCL1 | OLR0 | ILR0 | SGM1,Lugs,single | Lugs End Sleeve 0.5 Sqmm | 0.5A | DP Rs.0.50,1
AD | PT1 | PC15A | NOP1 | NOVFD1 | VFM1 | MIR1 | 3PDMS1 | PS4 | BY1 | PNLT1 | PCL1 | OLR0 | ILR0 | SGM1,Controller,"1.0 | AI-PCU02 WITH HMI DISPLAY | 1.0A | DP Rs.25,000.00",1
AD | PT1 | PC15A | NOP1 | NOVFD1 | VFM1 | MIR1 | 3PDMS1 | PS4 | BY1 | PNLT1 | PCL1 | OLR0 | ILR0 | SGM1,CT COIL,30-02 HOLE | 30amp CT With Wire (2 HOLE) | 30.0A | DP Rs.125.00,1
AD | PT1 | PC15A | NOP1 | NOVFD1 | VFM1 | MIR1 | 3PDMS1 | PS4 | BY1 | PNLT1 | PCL1 | OLR0 | ILR0 | SGM1,Fan,"4.0 | Exaust Fan 4"" 230VAC | 4.0A | DP Rs.370.00",1
AD | PT1 | PC15A | NOP1 | NOVFD1 | VFM1 | MIR1 | 3PDMS1 | PS4 | BY1 | PNLT1 | PCL1 | OLR0 | ILR0 | SGM1,Cable Tray,25X60 | CABLE TREY 25X60 BTYPE | 1.0A | DP Rs.111.00,1
